Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE MIDTOWN,1187 Upper Serangoon Road  #01-68 ,38,Strata,2476500,65171,6055,23-MAY-2013,Retail,99 Yrs From 24/01/2013,New Sale,19,53,533971,North East Region,Hougang
THE MIDTOWN,1187 Upper Serangoon Road  #02-09 ,31,Strata,1819600,58697,5453,23-MAY-2013,Retail,99 Yrs From 24/01/2013,New Sale,19,53,533971,North East Region,Hougang
THE MIDTOWN,1187 Upper Serangoon Road  #01-49 ,78,Strata,3450600,44238,4110,23-MAY-2013,Retail,99 Yrs From 24/01/2013,New Sale,19,53,533971,North East Region,Hougang
THE MIDTOWN,1187 Upper Serangoon Road  #02-18 ,32,Strata,1912300,59759,5552,23-MAY-2013,Retail,99 Yrs From 24/01/2013,New Sale,19,53,533971,North East Region,Hougang
THE MIDTOWN,1187 Upper Serangoon Road  #02-35 ,29,Strata,1751400,60393,5611,23-MAY-2013,Retail,99 Yrs From 24/01/2013,New Sale,19,53,533971,North East Region,Hougang
THE MIDTOWN,1187 Upper Serangoon Road  #02-16 ,39,Strata,2197500,56346,5235,23-MAY-2013,Retail,99 Yrs From 24/01/2013,New Sale,19,53,533971,North East Region,Hougang
THE MIDTOWN,1187 Upper Serangoon Road  #01-32 ,71,Strata,3000300,42258,3926,23-MAY-2013,Retail,99 Yrs From 24/01/2013,New Sale,19,53,533971,North East Region,Hougang
THE MIDTOWN,1187 Upper Serangoon Road  #02-26 ,24,Strata,1579900,65829,6116,22-MAY-2013,Retail,99 Yrs From 24/01/2013,New Sale,19,53,533971,North East Region,Hougang
HIGH STREET CENTRE,1 North Bridge Road  #B1-57 ,30,Strata,430000,14333,1332,22-MAY-2013,Retail,99 Yrs From 02/06/1969,Resale,06,17,179094,Central Region,Downtown Core
THE MIDTOWN,1187 Upper Serangoon Road  #01-57 ,46,Strata,2751800,59822,5558,22-MAY-2013,Retail,99 Yrs From 24/01/2013,New Sale,19,53,533971,North East Region,Hougang
THE MIDTOWN,1187 Upper Serangoon Road  #01-08 ,79,Strata,3809800,48225,4480,22-MAY-2013,Retail,99 Yrs From 24/01/2013,New Sale,19,53,533971,North East Region,Hougang
ORCHARD PLAZA,150 Orchard Road  #04-28 ,22,Strata,700000,31818,2956,22-MAY-2013,Retail,99 Yrs From 02/06/1977,Resale,09,23,238841,Central Region,Orchard
PEOPLE'S PARK COMPLEX,1 Park Road  #02-15 ,42,Strata,1850000,44048,4092,22-MAY-2013,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
THE MIDTOWN,1187 Upper Serangoon Road  #01-62 ,24,Strata,1738000,72417,6728,22-MAY-2013,Retail,99 Yrs From 24/01/2013,New Sale,19,53,533971,North East Region,Hougang
THE MIDTOWN,1187 Upper Serangoon Road  #01-70 ,29,Strata,2031700,70059,6509,22-MAY-2013,Retail,99 Yrs From 24/01/2013,New Sale,19,53,533971,North East Region,Hougang
